count	nama_komoditas
403	Padi
394	Jagung
378	Ayam
364	Sapi
315	Perikanan
298	Cabai
285	Kambing
274	Pisang
259	Ubi Kayu
222	Bebek
189	Ubi Jalar
181	Tomat
168	Itik
163	Kacang Tanah
137	Mangga
121	Tanaman Obat
112	Babi
109	Alpukat
104	Kerbau
96	Bawang
93	Kacang Hijau
82	Domba
79	Kedelai
64	Melon
48	Kentang
45	Umkm
40	Agen Gas
40	Kios Sembako
30	Pertanian
28	Gerai Sembako
28	Kakao
25	Ayam Petelur
25	Pariwisata
25	Token Listrik
22	UMKM
21	Kelapa Sawit
21	Penjualan Sembako
21	Perbengkelan
20	Nelayan Pesisir Dan Laut Dalam
19	Kelapa
19	Sawit
19	Sembako
16	Karet
15	Beras
15	Beras Sphp Bulog
15	Kopi
14	Gula Pasir
14	Pangkalan Gas Lpg 3 Kg
14	Penjualan Gas Lpg Tabung 3 Kg
14	Sayur Kacang Panjang
13	Bahan Bakar Minyak
13	Bawang Merah
13	Cabe
13	Gas Lpg
13	Ikan Laut
13	Kebun Cengkeh
13	Kelapa Sawit Perkebunan Rakyat
13	Kopra
13	Perdagangan Minyak Goreng
13	Peternakan Sapi
13	Sembako Murah
12	Durian
12	Gerai Sembako Dan Berbagai Macam Kebutyhan Rumah Tangga
12	Kebun Pala
12	Pertukangan
11	Pertanian Padi
10	Ayam Kampung
10	Beras Sphp
10	Cabai Rawit
10	Depot Air Isi Ulang
10	Kebun Sawit
10	Kelapa Dalam
10	Lahan Sawit
10	Padi Sawah
10	Ternak Babi
10	Warung Sembako
9	Kebun Karet
9	Kebun Kelapa
9	Lada
9	Mentimun/Timun/Ketimun
9	Minyak Goreng
9	Pangkalan Gas Elpiji
9	Pengelola Jasa Kendaraan Roda Dua (2) Ojek Pangkalan
9	Perkebunan Sawit Rakyat
9	Peternakan Kambing
8	Kue
8	Penjualan Beras
8	Perdagangan Beras
8	Perkebunan Dan Tanaman Produktif
8	Peternakan Ayam Kampung
8	Singkong
7	Distributor Beras
7	Grai Gas Lpg 3 Kg
7	Gula Merah
7	Kebun Jagung
7	Konveksi
7	Koperasi Simpan Pinjam
7	Pabrik Tahu Dan Tempe
7	Pertanian Dan Perkebunan
7	Sayuran
7	Simpan Pinjam
7	Wisata Pantai
6	Air Mineral Dalam Kemasan
6	Ayam Broiler
6	Buah Durian
6	Budi Daya Ikan Lele
6	Cabai Keriting
6	Cengkeh
6	Grosir Bahan Sembako
6	Gula Aren
6	Gula Pasir Curah
6	Hasil Hutan Kayu
6	Hasil Perkebunan Dan Pertanian
6	Ikan Laut Segar
6	Minyak Kita
6	Nelayan Perikanan Laut
6	Nilam
6	Padi Ladang
6	Pedagang Umkm
6	Petani Sayur
6	Semangka
6	Tebu
6	Tembakau
6	Terong
6	Warung Makan
5	Apotek Desa
5	Apotik
5	Bengkel Motor
5	Beras Lokal
5	Distribusi Penjualan Gas Elpiji
5	Ekonomi Kreatif Kerajinan
5	Foto Copy Atk
5	Gerai Sembako Bulog Id Food
5	Gerai Sembako Dan Lain Lain
5	Hasil Tangkapan Ikan
5	Ikan Asin
5	Isi Ulang Air Minum
5	Jagung Manis
5	Kangkung
5	Kebun Kopi
5	Kelapa Buah
5	Kelapa Kopra
5	Lpg 3 Kg
5	Mie Instant
5	Pala
5	Pariwisata Pesisir
5	Pasar Tradisional Sayuran Buah Makanan Minuman Pedagang Kaki Lima
5	Pelaku Umkm
5	Perdagangan Dan Umkm
5	Perdagangan Eceran Pupuk Subsidi Dan Non Subsidi
5	Perkebunan Karet Hasil Getah Karet
5	Perkebunan Kelapa Kampung
5	Perkebunan Kelapa Sawit
5	Persawahan
5	Petani Pembibitan Kelapa Sawit
5	Peternakan Dan Perikanan
5	Pohon Pisang
5	Rumput Laut
5	Sayur Sayuran
5	Sektor Umkm Perdagangan
5	Sub Pangkalan Lpg Pertamina Patra Niaga
5	Telur Ayam
5	Usaha Pedagang Kaki Lima Kios Warung Dan Toko
5	Usaha Perikanan Tangkap
5	Usaha Rumah Kos Dan Penginapan
4	Agen Laku Pandai
4	Agen Pembayaran Dan Pulsa
4	Agen Pos Logistik
4	Agen Rpk Perusahaan Umum Bulog
4	Aneka Produk Minyak Goreng
4	Ayam Potong Dan Telur
4	Budidaya Ayam Petelur
4	Budi Daya Rumput Laut
4	Cokelat
4	Cold Storage
4	Eceran Sembako Dan Kebutuhan Rumah Tanggal Lainnya
4	Frozen Food
4	Hasil Pertanian Kacang Panjang Kacang Buncis Dan Timun
4	Industri Air Minum Isi Ulang
4	Jasa Laundry
4	Jasa Pembayaran Pajak Kendaraan Bermotor
4	Jengkol
4	Jual Beli Buah Kelapa Sawit
4	Jual Jasa Internet
4	Kebutuhan Minyak Goreng
4	Kelapa Lokal
4	Kios Pupuk Subsidi Dan Non Subsidi
4	Klinik Desa
4	Kolam Ikan
4	Kopra Atau Kelapa
4	Manggis
4	Minyak Sayur
4	Mitra
4	Nelayan Tangkap
4	Palawija
4	Penggilingan Padi
4	Penjualan Bbm
4	Perdagangan
4	Perdagangan Eceran Bahan Bakar Minyak Pertalite Partamax
4	Perdagangan Eceran Hasil Perikanan
4	Perdagangan Sembako
4	Perkebebunan Karet
4	Pertambangan
4	Pertanian Sayur Mayur
4	Petani Holtikultura
4	Petani Kopi Robusta Arabika
4	Petani Sawah Padi
4	Petani Sawit
4	Peternakan Ayam Petelur
4	Pohon Kelapa
4	Produk Makanan
4	Pupuk
4	Rumah Kost
